Year,Month,State Name,# of Reports
2016,8,District of Columbia,88
2016,8,Florida,"2,610"
2016,8,Georgia,968
2016,8,Hawaii,75
2016,8,Idaho,79
2016,8,Illinois,"1,292"
2016,8,Indiana,323
2016,8,Iowa,129
2016,8,Kansas,185
2016,8,Kentucky,194
2016,8,Louisiana,232
2016,8,Maine,49
2016,8,Maryland,526
2016,8,Massachusetts,503
2016,8,Michigan,"1,024"
2016,8,Minnesota,345
2016,8,Mississippi,165
2016,8,Missouri,457
2016,8,Montana,33
2016,8,Nebraska,113
2016,8,Nevada,430
2016,8,New Hampshire,85
2016,8,New Jersey,718
2016,8,New Mexico,145
2016,8,New York,"1,466"
2016,8,North Carolina,621
2016,8,North Dakota,37
2016,8,Ohio,744
2016,8,Oklahoma,223
2016,8,Oregon,238
2016,8,Pennsylvania,"1,022"
2016,8,Puerto Rico,263
2016,8,Rhode Island,80
2016,8,South Carolina,283
2016,8,South Dakota,36
2016,8,Tennessee,412
2016,8,Texas,"3,483"
2016,8,Utah,176
2016,8,Vermont,25
2016,8,Virginia,622
2016,8,Washington,542
2016,8,West Virginia,63
2016,8,Wisconsin,323
2016,8,Wyoming,42
2016,9,Alabama,216
2016,9,Alaska,51
2016,9,Arizona,613
2016,9,Arkansas,124
2016,9,California,"3,663"
2016,9,Colorado,399
2016,9,Connecticut,321
2016,9,Delaware,65
2016,9,District of Columbia,78
2016,9,Florida,"2,342"
2016,9,Georgia,878
2016,9,Hawaii,54
2016,9,Idaho,102
