Organization Name,Letter URL,Reported Date,Date of Breach,End Date
Ontario Inc. (www.1800Flowers.ca),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/OntarioInc-www.1-800Flowers.ca.2018-11-30.pdf,11/30/2018,8/15/2014,9/15/2018
"Marriott International, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/MarriottInternationalInc.2018-11-30.pdf,11/30/2018,Since 2014,
The Caroline Kline Galland Home,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CarolineKlineGallandUpdated.2018-11-29.pdf,11/29/2018,9/14/2018,
Atrium Health,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/AtriumHealth.2018-11-28.pdf,11/27/2018,9/22/2018,9/29/2018
Washington State Patrol,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/WashingtonStatePatrol.2018-11-27.pdf,11/27/2018,10/14/2018,
"Burgerville, LLC (Amended)",,11/27/2018,8/17/2018,9/30/2018
"British Airways, PLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/BritishAirwaysPlc.2018-11-21.pdf,11/21/2018,8/21/2018,9/5/2018
Francesca’s Services Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Francesca%27sServicesCorporation.2018-11-19.pdf,11/19/2018,12/28/2017,7/9/2018
"LPL Financial, LLC (LPL)",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/LPLFinancialLLC.2018-11-16.pdf,11/16/2018,11/1/2018,
Washington State Employee Credit Union (WSECU),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/WashingtonStateEmployeesCreditUnion.11-15-18.pdf,11/16/2018,Unspecified,Unspecified
"HealthEquity, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/HealthEquityInc.2018-11-15.pdf,11/15/2018,9/4/2018; 10/05/2018,10/3/2018; 10/05/2018
"Newegg, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/NeweggInc.2018-11-15.pdf,11/15/2018,8/13/2018,9/19/2018
"Stein Mart, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SteinMartInc.2018-11-13.pdf,11/13/2018,12/28/2017,7/9/2018
"Pharmacy Times Office of Continuing Professional Education, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacyTimesOfficeOfContinuingProfessionalEducationLLC.2018-11-13.pdf,11/13/2018,5/11/2018,7/6/2018
"Collier Heggerness & Bronk CPA’s PS, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/CollierHeggernessBronkCPAsPSInc.2018-11-12.pdf,11/12/2018,9/27/2018,
"Title Nine Sports, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/TitleNineSportsInc.2018-11-12.pdf,11/12/2018,12/28/2017,8/9/2018
"Thesy, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/ThesyInc.2018-11-09.pdf,11/9/2018,12/6/2017,6/27/2018
"Unified Trust Company, N.A.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/UnifiedTrustCompany.2018-11-07.PDF,11/7/2018,12/6/2017,2/25/2018
"Southwest Washington Regional Surgery Center, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SouthwestWashingtonRegionalSurgeryCenter.2019-11-06.pdf,11/6/2018,Unspecified,Unspecified
"Nordstrom, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/Nordstrom.2018-11-05.PDF,11/5/2018,10/9/2018,
The Caroline Kline Galland Home d/b/a Kline Galland Home Care,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/TheCarolineKlineGallandHome.2018-10-25.pdf,10/25/2018,1/1/2015,9/20/2018
Bankers Life,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/BankersLife.2018-10-25.pdf,10/25/2018,5/30/2018,9/13/2018
"GS1 US, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/GS1USInc.2018-10-25.pdf,10/25/2018,7/7/2017,10/2/2018
"Challenger Sports, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/ChallengerSportsInc.2018-10-22.pdf,10/22/2018,8/26/2018; 5/9/2017,08/29/2018; 8/29/2018
Renaissance Philanthropic Solutions Group (update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/RenaissancePhilanthropicSolutionsGroupUpdate.2018-10-22.PDF,10/22/2018,6/5/2018,6/13/2018
